Name#Source#ExAllocated#ExFreed#ExHeld#InAllocated#InFreed#InHeld
Global#No source,0#4#4#0#8000040#8000040#0
int __cdecl wmain(int,wchar_t *[])#d:\work\memoryprofiler\test\main.cpp,35#0#0#0#8000036#8000036#0
void __cdecl Foo51(void)#d:\work\memoryprofiler\test\testfunctions.cpp,345#80000#80000#0#4000000#4000000#0
void __cdecl Foo17(void)#d:\work\memoryprofiler\test\testfunctions.cpp,583#80000#80000#0#6720000#6720000#0
void __cdecl Foo15(void)#d:\work\memoryprofiler\test\testfunctions.cpp,597#80000#80000#0#6880000#6880000#0
void __cdecl Foo50(void)#d:\work\memoryprofiler\test\testfunctions.cpp,352#80000#80000#0#4080000#4080000#0
void __cdecl Foo68(void)#d:\work\memoryprofiler\test\testfunctions.cpp,226#80000#80000#0#2640000#2640000#0
void __cdecl Foo35(void)#d:\work\memoryprofiler\test\testfunctions.cpp,457#80000#80000#0#5280000#5280000#0
void __cdecl Foo31(void)#d:\work\memoryprofiler\test\testfunctions.cpp,485#80000#80000#0#5600000#5600000#0
void __cdecl Foo27(void)#d:\work\memoryprofiler\test\testfunctions.cpp,513#80000#80000#0#5920000#5920000#0
void __cdecl Foo44(void)#d:\work\memoryprofiler\test\testfunctions.cpp,394#80000#80000#0#4560000#4560000#0
void __cdecl Foo73(void)#d:\work\memoryprofiler\test\testfunctions.cpp,191#80000#80000#0#2240000#2240000#0
void __cdecl Foo8(void)#d:\work\memoryprofiler\test\testfunctions.cpp,646#80000#80000#0#7440000#7440000#0
void __cdecl Foo59(void)#d:\work\memoryprofiler\test\testfunctions.cpp,289#80000#80000#0#3360000#3360000#0
void __cdecl Foo77(void)#d:\work\memoryprofiler\test\testfunctions.cpp,163#80000#80000#0#1920000#1920000#0
void __cdecl Foo98(void)#d:\work\memoryprofiler\test\testfunctions.cpp,16#80000#80000#0#240000#240000#0
void __cdecl Foo99(void)#d:\work\memoryprofiler\test\testfunctions.cpp,9#80000#80000#0#160000#160000#0
void __cdecl Foo58(void)#d:\work\memoryprofiler\test\testfunctions.cpp,296#80000#80000#0#3440000#3440000#0
void __cdecl Foo71(void)#d:\work\memoryprofiler\test\testfunctions.cpp,205#80000#80000#0#2400000#2400000#0
void __cdecl Foo64(void)#d:\work\memoryprofiler\test\testfunctions.cpp,254#80000#80000#0#2960000#2960000#0
void __cdecl Foo5(void)#d:\work\memoryprofiler\test\testfunctions.cpp,667#80000#80000#0#7680000#7680000#0
void __cdecl Foo1(void)#d:\work\memoryprofiler\test\testfunctions.cpp,695#80000#80000#0#8000000#8000000#0
void __cdecl Foo69(void)#d:\work\memoryprofiler\test\testfunctions.cpp,219#80000#80000#0#2560000#2560000#0
void __cdecl Foo30(void)#d:\work\memoryprofiler\test\testfunctions.cpp,492#80000#80000#0#5680000#5680000#0
void __cdecl Foo88(void)#d:\work\memoryprofiler\test\testfunctions.cpp,86#80000#80000#0#1040000#1040000#0
void __cdecl Foo13(void)#d:\work\memoryprofiler\test\testfunctions.cpp,611#80000#80000#0#7040000#7040000#0
void __cdecl Foo56(void)#d:\work\memoryprofiler\test\testfunctions.cpp,310#80000#80000#0#3600000#3600000#0
void __cdecl Foo83(void)#d:\work\memoryprofiler\test\testfunctions.cpp,121#80000#80000#0#1440000#1440000#0
void __cdecl Foo29(void)#d:\work\memoryprofiler\test\testfunctions.cpp,499#80000#80000#0#5760000#5760000#0
void __cdecl Foo97(void)#d:\work\memoryprofiler\test\testfunctions.cpp,23#80000#80000#0#320000#320000#0
void __cdecl Foo32(void)#d:\work\memoryprofiler\test\testfunctions.cpp,478#80000#80000#0#5520000#5520000#0
void __cdecl Foo37(void)#d:\work\memoryprofiler\test\testfunctions.cpp,443#80000#80000#0#5120000#5120000#0
void __cdecl Foo47(void)#d:\work\memoryprofiler\test\testfunctions.cpp,373#80000#80000#0#4320000#4320000#0
void __cdecl Foo80(void)#d:\work\memoryprofiler\test\testfunctions.cpp,142#80000#80000#0#1680000#1680000#0
void __cdecl Foo96(void)#d:\work\memoryprofiler\test\testfunctions.cpp,30#80000#80000#0#400000#400000#0
void __cdecl Foo94(void)#d:\work\memoryprofiler\test\testfunctions.cpp,44#80000#80000#0#560000#560000#0
void __cdecl Foo85(void)#d:\work\memoryprofiler\test\testfunctions.cpp,107#80000#80000#0#1280000#1280000#0
void __cdecl Foo89(void)#d:\work\memoryprofiler\test\testfunctions.cpp,79#80000#80000#0#960000#960000#0
void __cdecl Foo100(void)#d:\work\memoryprofiler\test\testfunctions.cpp,3#80000#80000#0#80000#80000#0
void __cdecl Foo95(void)#d:\work\memoryprofiler\test\testfunctions.cpp,37#80000#80000#0#480000#480000#0
void __cdecl Foo70(void)#d:\work\memoryprofiler\test\testfunctions.cpp,212#80000#80000#0#2480000#2480000#0
void __cdecl Foo10(void)#d:\work\memoryprofiler\test\testfunctions.cpp,632#80000#80000#0#7280000#7280000#0
void __cdecl Foo57(void)#d:\work\memoryprofiler\test\testfunctions.cpp,303#80000#80000#0#3520000#3520000#0
void __cdecl Foo72(void)#d:\work\memoryprofiler\test\testfunctions.cpp,198#80000#80000#0#2320000#2320000#0
void __cdecl Foo66(void)#d:\work\memoryprofiler\test\testfunctions.cpp,240#80000#80000#0#2800000#2800000#0
void __cdecl Foo76(void)#d:\work\memoryprofiler\test\testfunctions.cpp,170#80000#80000#0#2000000#2000000#0
void __cdecl Foo3(void)#d:\work\memoryprofiler\test\testfunctions.cpp,681#80000#80000#0#7840000#7840000#0
void __cdecl Foo65(void)#d:\work\memoryprofiler\test\testfunctions.cpp,247#80000#80000#0#2880000#2880000#0
void __cdecl Foo19(void)#d:\work\memoryprofiler\test\testfunctions.cpp,569#80000#80000#0#6560000#6560000#0
void __cdecl Foo46(void)#d:\work\memoryprofiler\test\testfunctions.cpp,380#80000#80000#0#4400000#4400000#0
void __cdecl Foo55(void)#d:\work\memoryprofiler\test\testfunctions.cpp,317#80000#80000#0#3680000#3680000#0
